model,exp,layer,n_steps,final_norm,final_cos_prev,mean_cos_prev,net_disp,path_len,straightness,converge_frac
ifevalg-opd,singlev_layers10-20_lr5e-3,18,8,2.0777318477630615,0.9986948370933533,0.9969708664076669,1.8084540367126465,1.8615150153636932,0.9714958094814615,0.25
ifevalg-opd,singlev_layers10-20_lr5e-3,19,8,2.0686821937561035,0.9986691474914551,0.9968283602169582,1.7990378141403198,1.8516459614038467,0.9715884416567185,0.25
ifevalg-opd,singlev_layers10-20_lr5e-3,20,8,2.0632095336914062,0.998634934425354,0.9967457396643502,1.793644666671753,1.8455663174390793,0.9718668192647918,0.25
ifevalg-opd,singlev_layers16-17_lr1e-1,16,139,63.71876907348633,0.9999830722808838,0.9990863588409148,62.86375427246094,131.06627351045609,0.4796333380718713,0.5611510791366906
ifevalg-opd,singlev_layers16-17_lr1e-1,17,139,66.66852569580078,0.9999841451644897,0.9990986883640289,66.16258239746094,131.35047033429146,0.5037102815777887,0.5683453237410072
ifevalg-opd,singlev_layers20-21_lr1e-1,20,331,169.9600830078125,0.9999926686286926,0.9998272088440981,168.7811737060547,337.7997344136238,0.49964862760782436,0.4773413897280967
ifevalg-opd,singlev_layers20-21_lr1e-1,21,331,184.19142150878906,0.999992847442627,0.999797901059642,183.69741821289062,365.75899291038513,0.5022362314353224,0.5226586102719033
ifevalg-opd,singlev_layers20-27_lr1e-1,20,319,150.47320556640625,0.9999933242797852,0.9997586456109893,149.2627410888672,282.87929451465607,0.5276552366441717,0.45454545454545453
ifevalg-opd,singlev_layers20-27_lr1e-1,21,319,131.3553466796875,0.9999901652336121,0.9996883108181024,130.98390197753906,283.59508687257767,0.4618694330074609,0.5517241379310345
ifevalg-opd,singlev_layers20-27_lr1e-1,22,319,128.75650024414062,0.9999901056289673,0.9996556817735516,128.60084533691406,284.973263502121,0.4512733712506925,0.5391849529780565
ifevalg-opd,singlev_layers20-27_lr1e-1,23,319,123.31829071044922,0.9999886155128479,0.9996481667149741,123.08765411376953,280.47535568475723,0.43885372322021404,0.5642633228840125
ifevalg-opd,singlev_layers20-27_lr1e-1,24,319,117.09086608886719,0.9999880194664001,0.9996475843513537,117.06917572021484,270.8928016424179,0.43216052626879214,0.5862068965517241
ifevalg-opd,singlev_layers20-27_lr1e-1,25,319,135.6857452392578,0.9999895691871643,0.9996318893987428,135.40362548828125,292.0063490867615,0.46370096373503805,0.5768025078369906
ifevalg-opd,singlev_layers20-27_lr1e-1,26,319,144.59320068359375,0.9999916553497314,0.999672087108564,144.32296752929688,286.14878845214844,0.5043633709231359,0.5642633228840125
ifevalg-opd,singlev_layers20-27_lr1e-1,27,319,149.597900390625,0.9999945759773254,0.9995144123926103,148.73574829101562,249.1860008239746,0.5968864534893467,0.45768025078369906
ifevalg-opd,singlev_layers3-4_lr1e-1,3,117,40.448524475097656,0.9998580813407898,0.9987092110617407,40.4261360168457,135.9983959197998,0.2972545061537753,0.7264957264957265
ifevalg-opd,singlev_layers3-4_lr1e-1,4,117,60.365631103515625,0.9999287724494934,0.9988790837855175,59.76841354370117,141.32387393712997,0.4229180242418916,0.6495726495726496
ifevalg-rl,vector_single1_layers0-20_lr1e-2,0,26,8.171564102172852,0.9859740138053894,0.9176348352432251,8.171564102172852,18.841075465083122,0.4337100669925479,0.8846153846153846
ifevalg-rl,vector_single1_layers0-20_lr1e-2,1,26,7.863001823425293,0.9871146082878113,0.9092377996444703,7.863001823425293,18.88781887292862,0.4163001496533362,0.8846153846153846
ifevalg-rl,vector_single1_layers0-20_lr1e-2,2,26,8.401351928710938,0.9887621998786926,0.9133451652526855,8.401351928710938,21.127650566399097,0.3976472396827806,0.8846153846153846
ifevalg-rl,vector_single1_layers0-20_lr1e-2,3,26,9.364715576171875,0.990761399269104,0.9109553217887878,9.364715576171875,24.689724445343018,0.37929607504948276,0.8846153846153846
